transaction_id,customer_id,product_name,category,quantity,unit_price,transaction_date,region
1001,C001,Laptop,Electronics,1,1200.00,2024-01-15,North
1002,C002,Mouse,Electronics,2,25.00,2024-01-15,South
1003,C003,Desk Chair,Furniture,1,350.00,2024-01-16,East
1004,C001,Monitor,Electronics,2,300.00,2024-01-16,North
1005,C004,Keyboard,Electronics,1,75.00,2024-01-17,West
1006,C005,Desk,Furniture,1,450.00,2024-01-17,South
1007,C002,USB Cable,Electronics,5,10.00,2024-01-18,South
1008,C006,Office Chair,Furniture,2,400.00,2024-01-18,East
1009,C007,Notebook,Stationery,10,5.00,2024-01-19,North
1010,C003,Pen Set,Stationery,3,15.00,2024-01-19,East
1011,C008,Laptop Stand,Electronics,1,80.00,2024-01-20,West
1012,C009,Bookshelf,Furniture,1,200.00,2024-01-20,North
1013,C004,Webcam,Electronics,1,120.00,2024-01-21,West
1014,C010,Desk Lamp,Electronics,2,45.00,2024-01-21,South
1015,C005,Filing Cabinet,Furniture,1,250.00,2024-01-22,South
